date,method,eps,min_samples,n_components,n_noise
1983-07-13,A,1.0,4,8,19
1983-07-13,A,1.0,5,10,66
1983-07-13,A,1.0,6,0,380
1983-07-13,A,1.0,7,0,380
1983-07-13,A,1.0,8,0,380
1983-07-13,A,1.0,9,0,380
1983-07-13,A,1.0,10,0,380
1983-07-13,A,1.0,11,0,380
1983-07-13,A,1.0,12,0,380
1983-07-13,A,1.5,4,6,10
1983-07-13,A,1.5,5,6,16
1983-07-13,A,1.5,6,6,19
1983-07-13,A,1.5,7,6,33
1983-07-13,A,1.5,8,6,46
1983-07-13,A,1.5,9,7,102
1983-07-13,A,1.5,10,0,380
1983-07-13,A,1.5,11,0,380
1983-07-13,A,1.5,12,0,380
1983-07-13,A,2.0,4,4,9
1983-07-13,A,2.0,5,4,13
1983-07-13,A,2.0,6,4,14
1983-07-13,A,2.0,7,5,14
1983-07-13,A,2.0,8,6,19
1983-07-13,A,2.0,9,6,26
1983-07-13,A,2.0,10,6,38
1983-07-13,A,2.0,11,5,63
1983-07-13,A,2.0,12,4,94
1983-07-13,A,2.5,4,5,4
1983-07-13,A,2.5,5,4,8
1983-07-13,A,2.5,6,4,9
1983-07-13,A,2.5,7,4,10
1983-07-13,A,2.5,8,4,13
1983-07-13,A,2.5,9,4,13
1983-07-13,A,2.5,10,4,13
1983-07-13,A,2.5,11,5,15
1983-07-13,A,2.5,12,6,20
1983-07-13,A,3.0,4,4,3
1983-07-13,A,3.0,5,4,7
1983-07-13,A,3.0,6,4,7
1983-07-13,A,3.0,7,4,7
1983-07-13,A,3.0,8,4,8
1983-07-13,A,3.0,9,4,10
1983-07-13,A,3.0,10,4,11
1983-07-13,A,3.0,11,4,11
1983-07-13,A,3.0,12,4,11
1983-07-13,A,3.5,4,3,0
1983-07-13,A,3.5,5,3,0
1983-07-13,A,3.5,6,3,7
1983-07-13,A,3.5,7,3,7
1983-07-13,A,3.5,8,3,7
1983-07-13,A,3.5,9,3,8
1983-07-13,A,3.5,10,3,8
1983-07-13,A,3.5,11,3,8
1983-07-13,A,3.5,12,3,10
1983-07-13,A,4.0,4,2,0
1983-07-13,A,4.0,5,2,0
1983-07-13,A,4.0,6,3,0
1983-07-13,A,4.0,7,3,0
1983-07-13,A,4.0,8,3,6
1983-07-13,A,4.0,9,3,6
1983-07-13,A,4.0,10,3,6
1983-07-13,A,4.0,11,3,6
1983-07-13,A,4.0,12,3,6
1987-07-23,A,1.0,4,8,22
1987-07-23,A,1.0,5,7,67
1987-07-23,A,1.0,6,0,390
1987-07-23,A,1.0,7,0,390
1987-07-23,A,1.0,8,0,390
1987-07-23,A,1.0,9,0,390
1987-07-23,A,1.0,10,0,390
1987-07-23,A,1.0,11,0,390
1987-07-23,A,1.0,12,0,390
1987-07-23,A,1.5,4,3,11
1987-07-23,A,1.5,5,5,17
1987-07-23,A,1.5,6,5,24
1987-07-23,A,1.5,7,5,38
1987-07-23,A,1.5,8,4,67
1987-07-23,A,1.5,9,8,84
1987-07-23,A,1.5,10,0,390
1987-07-23,A,1.5,11,0,390
1987-07-23,A,1.5,12,0,390
1987-07-23,A,2.0,4,3,8
1987-07-23,A,2.0,5,2,13
1987-07-23,A,2.0,6,2,14
1987-07-23,A,2.0,7,3,15
1987-07-23,A,2.0,8,5,19
1987-07-23,A,2.0,9,5,25
1987-07-23,A,2.0,10,5,42
1987-07-23,A,2.0,11,3,72
1987-07-23,A,2.0,12,4,95
1987-07-23,A,2.5,4,3,5
1987-07-23,A,2.5,5,2,9
1987-07-23,A,2.5,6,2,9
1987-07-23,A,2.5,7,2,10
1987-07-23,A,2.5,8,2,11
1987-07-23,A,2.5,9,2,13
1987-07-23,A,2.5,10,4,13
1987-07-23,A,2.5,11,4,14
