figure,class,producing_script,inputs,approved_original_sha256,deployed_embed_sha256,reproduced_output,reproduced_output_sha256,reproduction_result
Figure 1,publication figure (FROZEN),NONE (author-created slide export; frozen asset shipped in assets/frozen_figures/fig01/),n/a,cc561b368f84b298b3ee38a39415799cc31d8ca932fa586a32bd7624831ec787,cc561b368f84b298b3ee38a39415799cc31d8ca932fa586a32bd7624831ec787,n/a,,FROZEN ASSET SHIPPED - no runnable producer exists and none is claimed; the shipped PNG is byte-identical to the deployed manuscript embed
Figure 2,publication figure (V7 GRID-CELL LABEL CORRECTION; DEPLOYED 2026-07-30),scripts/figures/fig02/{fig02_panel_a_tmax_p95_map.py;fig02_panel_b_extent_hexbin.py;assemble_figure2.py},deposit gridded/fig02_box_p95.csv + gridded/fig02_daily_extent.csv,6700c9198c2e6f775459f010ce3d18f5a673a7f1f1c657ce2f5628388e9f7f76,62c20697282bddc0aa199782dec574fe0d84048ed6d3eaf117c839d31505b46f,reproduced/fig02/Figure2_assembled.png,62c20697282bddc0aa199782dec574fe0d84048ed6d3eaf117c839d31505b46f,"EXECUTED - BYTE-IDENTICAL to the deployed manuscript embed. The V7 grid-cell axis wording for panel (b) was DEPLOYED into the WORKING manuscript on 2026-07-30 (G2 pass, Fawaz-approved), together with the matching grid-cell caption wording. Superseded pre-correction embed: 6700c9198c2e6f775459f010ce3d18f5a673a7f1f1c657ce2f5628388e9f7f76. Panel (a) PNG, plotted data, thresholds and diagnostics CSVs unchanged. Artwork 8400x2941 px."
Figure 3,publication figure,scripts/figures/fig03/{fig3_panels.py;make_figure3_composite.py},deposit catalogs/ master (760 rows),cc3ea5e16261601023a3fa2f83ea4885c567de6eb761fee98210942f5bac93f6,cc3ea5e16261601023a3fa2f83ea4885c567de6eb761fee98210942f5bac93f6,reproduced/fig03/Figure3_assembled.png,cc3ea5e16261601023a3fa2f83ea4885c567de6eb761fee98210942f5bac93f6,EXECUTED - BYTE-IDENTICAL to the deployed manuscript embed
Figure 4,publication figure (FROZEN),NONE (author-created slide export; frozen asset shipped in assets/frozen_figures/fig04/),n/a,d595fb363d0a284abc1f9cc3049661f5786d1e42cf5e30ea3e50cea143a3bcde,d595fb363d0a284abc1f9cc3049661f5786d1e42cf5e30ea3e50cea143a3bcde,n/a,,FROZEN ASSET SHIPPED - no runnable producer exists and none is claimed; the shipped PNG is byte-identical to the deployed manuscript embed
Figure 5,publication figure,scripts/figures/fig05_06_07/make_figs_5_6_7.py,deposit catalogs/final_labels_event_global_max.csv,53bc580287ef7650f178d083a5bed0eabb07f82788c0432ba7352847a4dc2dad,7af1b41383a7e519f2574ca6fd27936c9f4bb96ea92a17ca12fd894035556fcc,reproduced/fig05/Figure5_type1_type2.png,53bc580287ef7650f178d083a5bed0eabb07f82788c0432ba7352847a4dc2dad,EXECUTED - BYTE-IDENTICAL to the approved canonical asset; the deployed DOCX embed is a downscaled deployment export of it (1950 px wide)
Figure 6,publication figure,scripts/figures/fig05_06_07/make_fig6.py (canonical Figure 6 producer; must run after the fig06 pass of make_figs_5_6_7.py - stage order enforced),deposit catalogs/final_labels_event_global_max.csv,769a24eaed5987b25a64499e3d3667ff2cfdac4f5ae518a5a02ed920ced0a471,f45272bc0030022fda3d5bdfdbe51e33b4d96d749e5f120d07cbabef8fb01cfe,reproduced/fig06/Figure6_type3_two_events.png,769a24eaed5987b25a64499e3d3667ff2cfdac4f5ae518a5a02ed920ced0a471,EXECUTED - BYTE-IDENTICAL to the approved canonical asset; the deployed DOCX embed is a downscaled deployment export of it
Figure 7,publication figure,scripts/figures/fig05_06_07/make_figs_5_6_7.py,deposit catalogs/final_labels_event_global_max.csv,40494b4c0f978da3c7e75eaabdc2de5128e40718b5d1159c97579e82ab47f965,5136d35c7e7cc1504afececdff5386d2835826fbb0b0e78f3abd457214cdd6bd,reproduced/fig07/Figure7_type4_six_days.png,40494b4c0f978da3c7e75eaabdc2de5128e40718b5d1159c97579e82ab47f965,EXECUTED - BYTE-IDENTICAL to the approved canonical asset; the deployed DOCX embed is a downscaled deployment export of it
Figure 8,publication figure,scripts/figures/fig08/Figure_10_Statistical_Analysis_of_Types_ORIGINAL.py,deposit catalogs/ master,9b2bd0f16c04f7d9107ead835b9734d631d1fdf476a7c3d838140e867460e30a,c64f1a16441b3f73d57bde6a75953d261e45cade7d7b7766ca36977aa6bccb6b,reproduced/fig08/figure5_type_AGU_hist_boxplot_orientation_area_ratio.png,bf15335648f446f2b09106771dec167c83d8819b280b35978bd082cfd4449cbe,"EXECUTED - THREE DISTINCT ARTIFACTS, none byte-identical to another. (1) approved full-resolution original, 6221x4751, is the post-processed 'B2B-1' pass applied by the authors. (2) deployed DOCX embed, 1950x1489, is a downscaled export of (1). (3) reproduced output, 6221x4751, is byte-identical to the PRE-B2B-1 script output archived at clean/manuscript/figures/fig08/versions_B2B1_20260722_215245/. Reproduced vs approved: identical dimensions, 5.10% of pixels differ (the B2B-1 post-processing). The script reproduces the plotted CONTENT exactly; it does not reproduce the manual post-processing pass."
Figure 9,publication figure,scripts/figures/fig09/make_figure9_unified_ORIGINAL.py,deposit catalogs/ master,9c5f5e3928404f31e51ec82ea3a8519718fa4ae837edbe1006ed7e7d5ceebc93,b023c6e55359b69d74dd1b93f7199c2f82f12d782cd76f3de5170a8f36460ad1,reproduced/fig09/Figure9_assembled.png,4cb3b38a5d80db8b2a936ed9ddf8246e2007609cd9c6ae1e6984256f1d1ffa04,"EXECUTED - THREE DISTINCT ARTIFACTS, none byte-identical to another. (1) approved full-resolution original, 9000x2940, is the post-processed 'B2B-1' pass. (2) deployed DOCX embed, 1950x637, is a downscaled export of (1). (3) reproduced output, 9000x2940, is byte-identical to the PRE-B2B-1 script output archived at clean/manuscript/figures/fig09/versions_B2B1_20260722_215245/. Reproduced vs approved: identical dimensions, 3.10% of pixels differ (the B2B-1 post-processing)."
Figure 10,publication figure,scripts/figures/fig10/Figure_9_Trend_Analysis_With_Table_statistics.py,deposit catalogs/ master,b0fe7dfc98fff6c09f91436dc26430418f0d4c1364cec3ee1f22710c1f99d2db,be5a528857a05843560d277d1c11cee02c944c21bfda1cd24324e13846b1def1,reproduced/fig10/Fig11_SCORCH_event_frequency_duration_ONLY_two_panels.png,b0fe7dfc98fff6c09f91436dc26430418f0d4c1364cec3ee1f22710c1f99d2db,EXECUTED - BYTE-IDENTICAL to the approved canonical asset; the companion trend-summary CSV is byte-identical to the deposit copy; the deployed DOCX embed is a downscaled export
