label,folder,document,reproduction_class,materialization,manuscript_final_sha256,bytes,width,height,panels,panel_count,approved_original_sha256,script_render_sha256,shipped_asset,source_hint_non_authoritative,reproduction_note
Fig. 1.,Figure_01,main_manuscript,deterministic_producer,frozen_artwork_asset,d3e0ca5eeefd811777480a412e5f4ec7f79007f7b2f15b2dc150ff3808f99280,754816,4500,2531,,0,cc561b368f84b298b3ee38a39415799cc31d8ca932fa586a32bd7624831ec787,d3e0ca5eeefd811777480a412e5f4ec7f79007f7b2f15b2dc150ff3808f99280,assets/frozen_figures/fig01/Figure_01.png,scripts/figures/fig01/restore_fig01_original_threshold.py,CORRECTED 2026-08 author round - original slide design restored with the authorized 'greater than or equal to' threshold wording (N_HW(t) >= 371); deterministic restorer output byte-identical to the manuscript embed
Fig. 2.,Figure_02,main_manuscript,data_generated,reproduced_output,62c20697282bddc0aa199782dec574fe0d84048ed6d3eaf117c839d31505b46f,2136432,8400,2941,ab,2,6700c9198c2e6f775459f010ce3d18f5a673a7f1f1c657ce2f5628388e9f7f76,62c20697282bddc0aa199782dec574fe0d84048ed6d3eaf117c839d31505b46f,,reproduced/fig02/Figure2_assembled.png,"EXECUTED - BYTE-IDENTICAL to the deployed manuscript embed. The V7 grid-cell axis wording for panel (b) was DEPLOYED into the WORKING manuscript on 2026-07-30 (G2 pass, Fawaz-approved), together with the matching grid-cell caption wording. Superseded pre-correction embed: 6700c9198c2e6f775459f010ce3d18f5a673a7f1f1c657ce2f5628388e9f7f76. Panel (a) PNG, plotted data, thresholds and diagnostics CSVs unchanged. Artwork 8400x2941 px."
Fig. 3.,Figure_03,main_manuscript,data_generated,reproduced_output,ff6a5129452d73e3c67650836d725c4c35f6945ed9ace21504d2bac7f43ee319,10881223,7325,8005,abcde,5,ff6a5129452d73e3c67650836d725c4c35f6945ed9ace21504d2bac7f43ee319,ff6a5129452d73e3c67650836d725c4c35f6945ed9ace21504d2bac7f43ee319,,reproduced/fig03/Figure3_assembled.png,EXECUTED - BYTE-IDENTICAL to the corrected-manuscript embed (full-resolution reproduced output embedded directly since the 2026-08 correction rounds)
Fig. 4.,Figure_04,main_manuscript,deterministic_producer,frozen_artwork_asset,c35d9ed6ccea8d7f6d8ec8ad92d65fb3c5dd2df16d82b015b7a531b2eefc829f,375387,4500,2531,,0,d595fb363d0a284abc1f9cc3049661f5786d1e42cf5e30ea3e50cea143a3bcde,c35d9ed6ccea8d7f6d8ec8ad92d65fb3c5dd2df16d82b015b7a531b2eefc829f,assets/frozen_figures/fig04/Figure_04.png,scripts/figures/fig04/correct_fig04_type4_horizontal.py,"CORRECTED 2026-08 author round - localized horizontal Type 4 correction (two -> one -> two, left to right); producer output byte-identical to the manuscript embed"
Fig. 5.,Figure_05,main_manuscript,data_generated,reproduced_output,5eeec34640e91ea346165b06aa81a14c2ed2eaa055cc70395863b34f2621085d,1602678,7440,3240,,0,5eeec34640e91ea346165b06aa81a14c2ed2eaa055cc70395863b34f2621085d,5eeec34640e91ea346165b06aa81a14c2ed2eaa055cc70395863b34f2621085d,,reproduced/fig05/Figure5_type1_type2.png,EXECUTED - BYTE-IDENTICAL to the corrected-manuscript embed (full-resolution reproduced output embedded directly since the 2026-08 correction rounds)
Fig. 6.,Figure_06,main_manuscript,data_generated,reproduced_output,ac2ebeaf5037fe7dafb00daf595aff91485b52c2af89127a52006e508c07afcb,2765403,6960,5640,ab,2,ac2ebeaf5037fe7dafb00daf595aff91485b52c2af89127a52006e508c07afcb,ac2ebeaf5037fe7dafb00daf595aff91485b52c2af89127a52006e508c07afcb,,reproduced/fig06/Figure6_type3_two_events.png,EXECUTED - BYTE-IDENTICAL to the corrected-manuscript embed (full-resolution reproduced output embedded directly since the 2026-08 correction rounds)
Fig. 7.,Figure_07,main_manuscript,data_generated,reproduced_output,769161f776249555f48be2dec12456a8a0afc26d8b2e7627f8df6e933eadeadd,3472492,9360,5340,,0,769161f776249555f48be2dec12456a8a0afc26d8b2e7627f8df6e933eadeadd,769161f776249555f48be2dec12456a8a0afc26d8b2e7627f8df6e933eadeadd,,reproduced/fig07/Figure7_type4_six_days.png,EXECUTED - BYTE-IDENTICAL to the corrected-manuscript embed (full-resolution reproduced output embedded directly since the 2026-08 correction rounds)
Fig. 8.,Figure_08,main_manuscript,manually_postprocessed_approved_artwork,manuscript_final_asset,c64f1a16441b3f73d57bde6a75953d261e45cade7d7b7766ca36977aa6bccb6b,291132,1950,1489,abc,3,9b2bd0f16c04f7d9107ead835b9734d631d1fdf476a7c3d838140e867460e30a,bf15335648f446f2b09106771dec167c83d8819b280b35978bd082cfd4449cbe,Figure_08.png,reproduced/fig08/figure5_type_AGU_hist_boxplot_orientation_area_ratio.png,"EXECUTED - THREE DISTINCT ARTIFACTS, none byte-identical to another. (1) approved full-resolution original, 6221x4751, is the post-processed 'B2B-1' pass applied by the authors. (2) deployed DOCX embed, 1950x1489, is a downscaled export of (1). (3) reproduced output, 6221x4751, is byte-identical to the PRE-B2B-1 script output archived at clean/manuscript/figures/fig08/versions_B2B1_20260722_215245/. Reproduced vs approved: identical dimensions, 5.10% of pixels differ (the B2B-1 post-processing). The script reproduces the plotted CONTENT exactly; it does not reproduce the manual post-processing pass."
Fig. 9.,Figure_09,main_manuscript,deployment_export_of_reproduced_original,manuscript_final_asset,7859acbd9ea69047d5a85bda65c4eed25d3592d52c4b0bfaad0a3068226a1431,262804,1950,637,abc,3,f4dce68d75000fab7bd2682f365f86a2197020d7c9156bddd52ff5313169f205,f4dce68d75000fab7bd2682f365f86a2197020d7c9156bddd52ff5313169f205,Figure_09.png,reproduced/fig09/Figure9_assembled.png,"EXECUTED - CORRECTED in the v1.0.0 pre-release correction: event orientation is the doubled-angle axial mean (scripts/figures/common/scorch_axial.py). The superseded pre-release chain averaged axial angles ARITHMETICALLY; Event 4 was rendered at -21.101 deg in the superseded pre-release manuscript candidate where the correct value is +68.98532754765856 deg. The manuscript-final raster is the deterministic width-1950 LANCZOS downscale of the reproduced 9000x2940 render, so approved_original and script_render now agree. Panel (a) and (b) raw-RGB pixel hashes are BYTE-IDENTICAL to the superseded pre-release candidate; only panel (c) changes. Superseded artifacts archived under legacy_defective_figure09/ and excluded from publication outputs."
Fig. 10.,Figure_10,main_manuscript,deployment_export_of_reproduced_original,manuscript_final_asset,be5a528857a05843560d277d1c11cee02c944c21bfda1cd24324e13846b1def1,193345,1950,1222,ab,2,b0fe7dfc98fff6c09f91436dc26430418f0d4c1364cec3ee1f22710c1f99d2db,b0fe7dfc98fff6c09f91436dc26430418f0d4c1364cec3ee1f22710c1f99d2db,Figure_10.png,reproduced/fig10/Fig11_SCORCH_event_frequency_duration_ONLY_two_panels.png,EXECUTED - BYTE-IDENTICAL to the approved canonical asset; the companion trend-summary CSV is byte-identical to the deposit copy; the deployed DOCX embed is a downscaled export
