year,count,median,mean,max
1983,4,22.154014578153724,25.48058659120411,53.525869053865534
1987,5,128.63237573937732,128.15429031978985,133.2925631298948
1991,4,47.27803927029789,51.15798554752229,107.02461157147896
1998,24,78.65200611283765,61.33142044929766,130.17015600685585
1999,11,28.387275331448933,46.540179106061096,104.04031042104768
2000,13,50.81158793749528,57.26086944590205,142.42180530735018
2001,18,62.84191958079721,68.88115370746482,164.00229745661815
2002,18,25.39451199495022,45.28497364888416,143.0916400557193
2006,11,25.16954595299316,50.75895512448855,120.54769521020869
2007,12,85.32918254276505,74.41115407905376,139.51579714395578
2010,77,14.151754782016464,36.30391377444072,131.2154902701786
2011,26,12.691640270509687,33.424513572678336,102.32621167501364
2012,30,108.46483431015582,79.08944841199444,183.79538939709585
2015,37,91.95388984726638,78.32948862856873,175.65533908683187
2016,7,95.65681388035574,80.06809611471667,159.06530089867593
2017,65,20.754721934001235,47.36753142452422,152.50918907648918
2018,13,17.405503335099084,41.73078656011714,101.81767855898433
2019,11,13.991006136414594,19.36303775390406,62.586903923002126
2020,14,18.95897107329034,42.23887560830256,147.25418204765177
2021,64,26.14684094127317,32.88208346789551,98.94924259124774
2022,15,7.853656270136788,16.82880557003535,53.3182728868868
2023,72,73.00202613550171,60.65706975812436,136.66013684382662
2024,155,25.676102236603924,63.55314313077368,200.38310598392363
2025,54,57.983908943734505,65.90985654473253,163.8880987185579
