new_event_id,date,daily_eps,daily_minpts,workbook_n_clusters,reproduced_n_clusters,match
1,1983-07-13,2.631578947368421,8,4,4,1
2,1987-07-23,3.5217391304347827,9,1,1,1
2,1987-07-24,3.5217391304347827,9,1,1,1
2,1987-07-25,3.5217391304347827,9,1,1,1
2,1987-07-26,3.5217391304347827,9,1,1,1
2,1987-07-27,3.5217391304347827,9,1,1,1
3,1991-06-04,3.242857142857143,8,2,2,1
3,1991-06-05,3.242857142857143,8,2,2,1
4,1998-05-24,3.272727272727273,8,2,2,1
4,1998-05-25,3.272727272727273,8,2,2,1
4,1998-05-26,3.272727272727273,8,2,2,1
5,1998-08-01,3.34375,8,2,2,1
5,1998-08-02,3.34375,8,1,1,1
5,1998-08-03,3.34375,8,1,1,1
5,1998-08-04,3.34375,8,1,1,1
5,1998-08-05,3.34375,8,1,1,1
5,1998-08-06,3.34375,8,1,1,1
5,1998-08-07,3.34375,8,3,3,1
5,1998-08-08,3.34375,8,2,2,1
5,1998-08-09,3.34375,8,2,2,1
5,1998-08-10,3.34375,8,2,2,1
5,1998-08-11,3.34375,8,2,2,1
6,1999-08-18,3.571428571428572,8,4,4,1
6,1999-08-19,3.571428571428572,8,3,3,1
6,1999-08-20,3.571428571428572,8,2,2,1
6,1999-08-21,3.571428571428572,8,1,1,1
6,1999-08-22,3.571428571428572,8,1,1,1
7,2000-07-07,3.333333333333333,9,2,2,1
7,2000-07-08,3.333333333333333,9,2,2,1
7,2000-07-09,3.333333333333333,9,1,1,1
8,2000-07-28,3.3846153846153846,9,2,2,1
8,2000-07-29,3.3846153846153846,9,2,2,1
8,2000-07-30,3.3846153846153846,9,1,1,1
8,2000-07-31,3.3846153846153846,9,1,1,1
8,2000-08-01,3.3846153846153846,9,1,1,1
8,2000-08-02,3.3846153846153846,9,1,1,1
9,2001-07-28,3.5625,9,1,1,1
9,2001-07-29,3.5625,9,2,2,1
9,2001-07-30,3.5625,9,2,2,1
10,2001-08-07,3.362068965517241,10,3,3,1
10,2001-08-08,3.362068965517241,10,3,3,1
10,2001-08-09,3.362068965517241,10,3,3,1
10,2001-08-10,3.362068965517241,10,2,2,1
10,2001-08-11,3.362068965517241,10,1,1,1
10,2001-08-12,3.362068965517241,10,1,1,1
11,2002-07-16,3.764705882352941,9,3,3,1
11,2002-07-17,3.764705882352941,9,2,2,1
11,2002-07-18,3.764705882352941,9,1,1,1
11,2002-07-19,3.764705882352941,9,1,1,1
11,2002-07-20,3.764705882352941,9,3,3,1
12,2002-07-31,3.1346153846153846,9,1,1,1
13,2002-08-06,2.8846153846153846,10,4,4,1
13,2002-08-07,2.8846153846153846,10,3,3,1
14,2006-08-20,3.7916666666666665,9,2,2,1
14,2006-08-21,3.7916666666666665,9,4,4,1
14,2006-08-22,3.7916666666666665,9,3,3,1
14,2006-08-23,3.7916666666666665,9,2,2,1
15,2007-07-25,3.421052631578948,9,2,2,1
15,2007-07-26,3.421052631578948,9,1,1,1
15,2007-07-27,3.421052631578948,9,1,1,1
15,2007-07-28,3.421052631578948,9,1,1,1
15,2007-07-29,3.421052631578948,9,2,2,1
15,2007-07-30,3.421052631578948,9,2,2,1
15,2007-07-31,3.421052631578948,9,2,2,1
15,2007-08-01,3.421052631578948,9,1,1,1
16,2010-06-18,3.1486486486486487,8,5,5,1
16,2010-06-19,3.1486486486486487,8,4,4,1
16,2010-06-20,3.1486486486486487,8,3,3,1
16,2010-06-21,3.1486486486486487,8,3,3,1
16,2010-06-22,3.1486486486486487,8,4,4,1
17,2010-07-08,3.380952380952381,9,3,3,1
17,2010-07-09,3.380952380952381,9,2,2,1
17,2010-07-10,3.380952380952381,9,1,1,1
17,2010-07-11,3.380952380952381,9,2,2,1
17,2010-07-12,3.380952380952381,9,1,1,1
17,2010-07-13,3.380952380952381,9,1,1,1
18,2010-07-16,3.125,9,3,3,1
18,2010-07-17,3.125,9,5,5,1
18,2010-07-18,3.125,9,4,4,1
19,2010-08-01,2.840909090909091,8,2,2,1
19,2010-08-02,2.840909090909091,8,2,2,1
19,2010-08-03,2.840909090909091,8,3,3,1
20,2010-08-05,3.392857142857143,9,4,4,1
20,2010-08-06,3.392857142857143,9,3,3,1
20,2010-08-07,3.392857142857143,9,3,3,1
20,2010-08-08,3.392857142857143,9,3,3,1
20,2010-08-09,3.392857142857143,9,1,1,1
20,2010-08-10,3.392857142857143,9,1,1,1
20,2010-08-11,3.392857142857143,9,1,1,1
20,2010-08-12,3.392857142857143,9,1,1,1
20,2010-08-13,3.392857142857143,9,1,1,1
20,2010-08-14,3.392857142857143,9,1,1,1
20,2010-08-15,3.392857142857143,9,1,1,1
20,2010-08-16,3.392857142857143,9,2,2,1
20,2010-08-17,3.392857142857143,9,2,2,1
20,2010-08-18,3.392857142857143,9,1,1,1
20,2010-08-19,3.392857142857143,9,1,1,1
20,2010-08-20,3.392857142857143,9,1,1,1
20,2010-08-21,3.392857142857143,9,2,2,1
21,2011-07-26,3.522727272727273,9,3,3,1
21,2011-07-27,3.522727272727273,9,3,3,1
21,2011-07-28,3.522727272727273,9,1,1,1
21,2011-07-29,3.522727272727273,9,1,1,1
21,2011-07-30,3.522727272727273,9,1,1,1
21,2011-07-31,3.522727272727273,9,1,1,1
21,2011-08-01,3.522727272727273,9,3,3,1
21,2011-08-02,3.522727272727273,9,3,3,1
21,2011-08-03,3.522727272727273,9,2,2,1
21,2011-08-04,3.522727272727273,9,4,4,1
21,2011-08-05,3.522727272727273,9,4,4,1
22,2012-07-13,3.565217391304348,9,2,2,1
22,2012-07-14,3.565217391304348,9,2,2,1
22,2012-07-15,3.565217391304348,9,3,3,1
22,2012-07-16,3.565217391304348,9,2,2,1
22,2012-07-17,3.565217391304348,9,2,2,1
22,2012-07-18,3.565217391304348,9,2,2,1
22,2012-07-19,3.565217391304348,9,2,2,1
22,2012-07-20,3.565217391304348,9,2,2,1
22,2012-07-21,3.565217391304348,9,2,2,1
22,2012-07-22,3.565217391304348,9,2,2,1
22,2012-07-23,3.565217391304348,9,1,1,1
22,2012-07-24,3.565217391304348,9,1,1,1
22,2012-07-25,3.565217391304348,9,1,1,1
22,2012-07-26,3.565217391304348,9,1,1,1
22,2012-07-27,3.565217391304348,9,1,1,1
22,2012-07-28,3.565217391304348,9,1,1,1
22,2012-07-29,3.565217391304348,9,3,3,1
