new_event_id,event_global_eps_max,event_global_minpts_max_raw,event_global_minpts_max_rounded,n_days,v3_type,event_global_minpts_used,event_global_minpts_ceil_raw
1,2.631578947368421,7.578947368421052,8,1,2,8,8
2,3.5217391304347827,9.0,9,5,3,9,9
3,3.242857142857143,8.228571428571428,8,2,3,8,9
4,3.272727272727273,7.818181818181818,8,3,3,8,8
5,3.34375,8.0,8,11,4,8,8
6,3.571428571428572,7.846153846153846,8,5,4,8,8
7,3.333333333333333,9.22222222222222,9,3,4,9,10
8,3.3846153846153846,8.620689655172415,9,6,4,9,9
9,3.5625,8.761904761904763,9,3,4,9,9
10,3.362068965517241,9.8,10,6,4,10,10
11,3.764705882352941,9.352941176470589,9,5,4,9,10
12,3.1346153846153846,9.461538461538462,9,1,1,9,10
13,2.8846153846153846,9.620689655172416,10,2,3,10,10
14,3.7916666666666665,8.882352941176471,9,4,3,9,9
15,3.421052631578948,9.421052631578949,9,8,4,9,10
16,3.1486486486486487,8.290322580645162,8,5,3,8,9
17,3.380952380952381,9.384615384615383,9,6,4,9,10
18,3.125,9.15,9,3,3,9,10
19,2.840909090909091,7.862068965517241,8,3,3,8,8
20,3.392857142857143,8.88,9,17,4,9,9
21,3.522727272727273,9.217391304347826,9,11,4,9,10
22,3.565217391304348,9.333333333333334,9,17,4,9,10
23,2.96875,7.9375,8,1,2,8,8
24,3.6538461538461537,10.071428571428571,10,24,4,10,11
25,3.657894736842105,9.5625,10,2,3,10,10
26,3.0609756097560976,7.634146341463414,8,1,1,8,8
27,3.0,8.363636363636363,8,1,2,8,9
28,3.595238095238096,8.9,9,7,4,9,9
29,3.5,9.0,9,2,3,9,9
30,3.4791666666666665,9.125,9,9,3,9,10
31,3.611111111111111,9.0,9,13,4,9,9
32,3.5454545454545454,8.363636363636363,8,7,4,8,9
33,3.6538461538461537,8.384615384615385,8,2,3,8,9
34,2.988372093023256,8.318181818181818,8,3,3,8,9
35,3.1,8.4,8,3,3,8,9
36,3.338709677419355,7.592592592592593,8,3,3,8,8
37,3.6666666666666665,9.285714285714286,9,11,4,9,10
38,3.4615384615384617,8.26923076923077,8,4,3,8,9
39,3.5476190476190474,8.068965517241379,8,3,3,8,9
40,3.5681818181818183,8.277777777777779,8,10,3,8,9
41,3.7666666666666666,8.266666666666667,8,1,1,8,9
42,3.05,8.214285714285714,8,5,3,8,9
43,2.84,8.32,8,1,2,8,9
44,3.764705882352941,9.434782608695652,9,28,4,9,10
45,3.733333333333333,8.733333333333333,9,16,4,9,9
46,3.647058823529412,11.090909090909092,11,40,4,11,12
47,3.6176470588235294,9.88888888888889,10,22,4,10,10
48,3.6176470588235294,8.882352941176471,9,19,4,9,9
49,3.3793103448275863,7.344827586206897,7,2,3,7,8
50,3.647058823529412,10.133333333333333,10,19,4,10,11
51,3.4545454545454546,9.4,9,9,4,9,10
