centroid_id,new_event_id,event_id,date,v3_type,event_type_name,centroid_lon,centroid_lat,x_km,y_km,nearest_grid_id,nearest_grid_lon,nearest_grid_lat,mean_tmax,std_tmax,cv_tmax,mean_tmax_z,cv_tmax_z,nearest_grid_dist_km
1,1,1,1983-07-13,2,Spatially clustered,31.05047508761103,21.39001819850779,-1443.3393536997733,-653.8508510907247,562,31.5,21.5,38.06414353352124,3.372840466504642,0.08860938808551795,1.2334254222605223,-0.6919403678136266,47.85286794235469
2,1,1,1983-07-13,2,Spatially clustered,45.03410415656309,12.320740202907068,3.743615148959467,-1730.6872395097705,126,45.5,12.5,30.31014818278061,1.537659840045807,0.05073085854853595,-0.06483935050888398,-1.1716830208926465,54.77629163116942
3,1,1,1983-07-13,2,Spatially clustered,55.446508551209625,42.23210486470455,866.8343435596972,1616.1061795418973,1636,55.5,42.5,29.3032750631321,7.215447203194012,0.2462334734820178,-0.2334218480162154,1.3044147663908743,29.876362680370054
4,1,1,1983-07-13,2,Spatially clustered,46.68117614252466,30.989532814657984,160.62951282665279,332.4542169869537,1027,46.5,30.5,40.51764192749636,5.325464040949175,0.1314356854843315,1.644218876584682,-0.149532787931239,56.95532956169633
5,2,2,1987-07-23,3,Temporally clustered,34.155341651027406,30.88215545753578,-1034.692515452805,366.38316929652837,1015,34.5,30.5,30.22308652800001,4.078317464783799,0.13494046880372276,-0.07941623305110339,-0.10514368231745676,53.66593142887674
6,2,2,1987-07-24,3,Temporally clustered,34.715571445340466,30.16504381139904,-988.6027553994352,282.23792957732354,1015,34.5,30.5,30.22308652800001,4.078317464783799,0.13494046880372276,-0.07941623305110339,-0.10514368231745676,42.541473061611995
7,2,2,1987-07-25,3,Temporally clustered,35.275562383416585,29.177030535174,-944.0759025811501,168.31473675962252,966,35.5,29.5,31.03725939818661,4.166964532825407,0.13425684527638632,0.05690213038547761,-0.11380197419733092,41.99356245399147
8,2,2,1987-07-26,3,Temporally clustered,35.28637751421265,29.20811023124321,-942.7482461592524,171.67338462209443,966,35.5,29.5,31.03725939818661,4.166964532825407,0.13425684527638632,0.05690213038547761,-0.11380197419733092,38.50351632177889
9,2,2,1987-07-27,3,Temporally clustered,36.10871272404261,29.16578693084553,-863.5714467768761,160.8560922544218,967,36.5,29.5,32.98242833778264,4.377421830784094,0.13271981632018248,0.38258511020845887,-0.1332688953878322,53.10801376425538
10,3,3,1991-06-04,3,Temporally clustered,26.65588666559593,21.226201746430476,-1895.07894634871,-615.0303840885966,557,26.5,21.5,34.27863431058673,3.3365231421952024,0.0973353579948411,0.5996111047603012,-0.5814234072515951,34.77873825574655
11,3,3,1991-06-04,3,Temporally clustered,62.86702913919701,20.51692078997292,1855.8961059375622,-700.4967705662191,543,62.5,20.5,27.565127879331946,1.228807424825579,0.04457833209425908,-0.5244428193404441,-1.2496065675665446,38.11291177169923
12,3,3,1991-06-05,3,Temporally clustered,27.369001758250544,20.515073923701475,-1831.6992464671584,-704.0613964221247,508,27.5,20.5,35.123034731498564,3.3405830440906072,0.09511088861278695,0.740990518984064,-0.6095969624577915,13.710900684469106
13,3,3,1991-06-05,3,Temporally clustered,63.34064888910381,21.502542363022727,1890.875692742277,-584.4799426609741,594,63.5,21.5,27.719895655900707,1.1741411692237504,0.04235734447917419,-0.49852978442227425,-1.277736025175932,16.377761749495686
14,4,4,1998-05-24,3,Temporally clustered,29.776947505980985,14.437650008881077,-1645.850529013367,-1407.1641220988254,210,29.5,14.5,36.37199237928682,2.943983490776115,0.08094094654140144,0.95010564524598,-0.7890634223863767,30.853062899141097
15,4,4,1998-05-24,3,Temporally clustered,62.09882411592492,17.632195034404848,1811.881609250528,-1030.4088761704909,393,62.5,17.5,27.540887515719714,1.2858709186921102,0.046689523638559736,-0.528501425095718,-1.2228677093003615,44.524295205060355
