"model","formula","param_class","parameter","value"
"baseline","~ lon + lat + mean_tmax_z + cv_tmax_z","fixed_effect","(Intercept)","-11.887374"
"baseline","~ lon + lat + mean_tmax_z + cv_tmax_z","fixed_effect","lon","-0.016327"
"baseline","~ lon + lat + mean_tmax_z + cv_tmax_z","fixed_effect","lat","0.081778"
"baseline","~ lon + lat + mean_tmax_z + cv_tmax_z","fixed_effect","mean_tmax_z","0.496455"
"baseline","~ lon + lat + mean_tmax_z + cv_tmax_z","fixed_effect","cv_tmax_z","-0.229395"
"baseline","~ lon + lat + mean_tmax_z + cv_tmax_z","covariance","var_sigma2","1.639185"
"baseline","~ lon + lat + mean_tmax_z + cv_tmax_z","covariance","scale_km","265.112077"
"baseline","~ lon + lat + mean_tmax_z + cv_tmax_z","covariance","phi","not available for this fitted LGCP object"
"variant1","~ lon + lat + mean_tmax_z","fixed_effect","(Intercept)","-11.427932"
"variant1","~ lon + lat + mean_tmax_z","fixed_effect","lon","-0.016161"
"variant1","~ lon + lat + mean_tmax_z","fixed_effect","lat","0.065222"
"variant1","~ lon + lat + mean_tmax_z","fixed_effect","mean_tmax_z","0.543590"
"variant1","~ lon + lat + mean_tmax_z","covariance","var_sigma2","1.648276"
"variant1","~ lon + lat + mean_tmax_z","covariance","scale_km","271.875141"
"variant1","~ lon + lat + mean_tmax_z","covariance","phi","not available for this fitted LGCP object"
"variant2","~ lon + lat + cv_tmax_z","fixed_effect","(Intercept)","-11.930083"
"variant2","~ lon + lat + cv_tmax_z","fixed_effect","lon","-0.011804"
"variant2","~ lon + lat + cv_tmax_z","fixed_effect","lat","0.079222"
"variant2","~ lon + lat + cv_tmax_z","fixed_effect","cv_tmax_z","-0.569240"
"variant2","~ lon + lat + cv_tmax_z","covariance","var_sigma2","1.409895"
"variant2","~ lon + lat + cv_tmax_z","covariance","scale_km","467.164075"
"variant2","~ lon + lat + cv_tmax_z","covariance","phi","not available for this fitted LGCP object"
"variant3","~ lon + lat + mean_tmax_z + std_tmax_z","fixed_effect","(Intercept)","-11.457776"
"variant3","~ lon + lat + mean_tmax_z + std_tmax_z","fixed_effect","lon","-0.016147"
"variant3","~ lon + lat + mean_tmax_z + std_tmax_z","fixed_effect","lat","0.066264"
"variant3","~ lon + lat + mean_tmax_z + std_tmax_z","fixed_effect","mean_tmax_z","0.546415"
"variant3","~ lon + lat + mean_tmax_z + std_tmax_z","fixed_effect","std_tmax_z","-0.010951"
"variant3","~ lon + lat + mean_tmax_z + std_tmax_z","covariance","var_sigma2","1.642911"
"variant3","~ lon + lat + mean_tmax_z + std_tmax_z","covariance","scale_km","272.455153"
"variant3","~ lon + lat + mean_tmax_z + std_tmax_z","covariance","phi","not available for this fitted LGCP object"
